,0,1,2,3,4
18,ParamList=12140/0006////0/500 ,KurumaInfo=114241/1/ƒ÷¿/111/ª∏º∞ƒﬁ 1500 ‹∫ﬁ› DOHC/12140/0005 0006/CBA-NCP58G/0402/1006/1NZFE/1500,,,
19,ParamList=12140/0005////0/500 ,KurumaInfo=114241/1/ƒ÷¿/111/ª∏º∞ƒﬁ 1500 ‹∫ﬁ› DOHC/12140/0005 0006/CBA-NCP58G/0402/1006/1NZFE/1500,,,
20,ParamList=//DA64V///0/500 ,KurumaInfo=118701/8/ΩΩﬁ∑/22/¥Ãﬁÿ® 660 DOHC/15132/0009/EBD-DA64V/0508/1005/K6A/660,,,
21,ParamList=//L375S///0/500 ,KurumaInfo=134829/6/¿ﬁ≤ ¬/34/¿›ƒ 660 DOHC/16010/0019 0022 0028 0035/DBA-L375S/1010/1310/KFVE/660,,,
22,,KNoList=94406/94404/94405/94407/97148/97149/97150/97151/85991/85992/85993/85994/85997/85998/85999/86000/94400/94401/94402/94403/85995/85996/86001/86002/99617/99618/99619/99620/99621/99622/99623/99624/99625/99626/99627/99628/99629/99630/99631/99632/104056/104057/104058/104059/104052/104053/104054/104055/10767/80011/80012/85247 ,HinList=1800/1801/1802/1803/1804/1805/1806/1807/1840/1900/1880/1920/1840/1880/1900/1920/1960/2000/2001/2002/2003/2004/2005/2006/2007 ,MkrList=4260/4260/4260/4260/4260/4260/4260/4260/4260/4260/4260/4260/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040,
23,ParamList='SPS-HS2K'/84400238/Ω¿Àﬁ◊≤ªﬁÿ›∏/SUN(TOKAI)/0,,,,
24,ParamList='F'/84400238/Ω¿Àﬁ◊≤ªﬁÿ›∏/SUN(TOKAI)/0,,,,
25,,KNoList=94406/94404/94405/94407/97148/97149/97150/97151/85991/85992/85993/85994/85997/85998/85999/86000/94400/94401/94402/94403/85995/85996/86001/86002/99617/99618/99619/99620/99621/99622/99623/99624/99625/99626/99627/99628/99629/99630/99631/99632/104056/104057/104058/104059/104052/104053/104054/104055/10767/80011/80012/85247 ,HinList=3840/3841/3842/3845/3800/3801/3802/3843/3844/4741/4742/3803/4740/5740 ,MkrList=2020/2020/2020/2020/2020/2020/2020/2020/2020/2020/2020/2020/2020/2020,
26,LCResult=lcLoggedIn,,,,
27,ParamList='24V12W'/-1///0,,,,
28,ResultList=engineer-9/0552280333//ucOkMultiChild/lcNotLogin/ukcMatch/fkey2.ini/v8net.exe/19700101090000/20190510134635/ ,WinVer=wvWin10 ,Win64=1 ,UKey=7C-10-C9-1C-AD-5A,
29,,KNoList=94406/94404/94405/94407/97148/97149/97150/97151/85991/85992/85993/85994/85997/85998/85999/86000/94400/94401/94402/94403/85995/85996/86001/86002/99617/99618/99619/99620/99621/99622/99623/99624/99625/99626/99627/99628/99629/99630/99631/99632/104056/104057/104058/104059/104052/104053/104054/104055/10767/80011/80012/85247 ,HinList=2880/3880/3881/3882/4620/4650/4700/4701/4702/4703/4710/4711/4712/4713/4714/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4984/4985/5020/5060/5061/5062/5160/5220/5221/5222/5260/5261/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5550/5570/5580/5620/5621/5622/5625/5630/5631/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5900/5920/5940/5960/5980/... ,MkrList=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4360/4360/2840/2840/2840/...,
30,ParamList=//JB1///0/500 ,KurumaInfo=94406/5/Œ›¿ﬁ/47/◊≤Ã 660/9212/0051 0052/GF-JB1/0005/0105/E07Z/660,,,
31,LCResult=lcLoggedIn,,,,
32,ParamList='9641162500'/-1///0,,,,
33,ParamList='9641162500000'/-1///0,,,,
34,,KNoList=128300/133228/142809/142580/141278/145290/145291/145292/137252/147410/128299/133229/141279/128307/133230/141280/145287/145288/145289/128308/137260/145285/136318/145286/128301/128302 ,HinList=2942/2943 ,MkrList=0001/0001,
35,,KNoList=128300/133228/142809/142580/141278/145290/145291/145292/137252/147410/128299/133229/141279/128307/133230/141280/145287/145288/145289/128308/137260/145285/136318/145286/128301/128302 ,HinList=2120/2121/2122/2123/2124/2125/2140/2141/2142/2260 ,MkrList=2280/2280/2280/2280/2280/2280/2280/2280/2280/2280,
36,ParamList=//L575S///0/500 ,KurumaInfo=128300/6/¿ﬁ≤ ¬/42/—∞Ãﬁ ∫›√ 660 DOHC/16138/0005-0008 0019-0022 0033 0034 0043 0044/DBA-L575S/0808/1307/KFVE/660,,,
37,ResultList=engineer-9/0552280333//ucOkMultiChild/lcNotLogin/ukcMatch/fkey2.ini/v8net.exe/19700101090000/20190510134635/ ,WinVer=wvWin10 ,Win64=1 ,UKey=7C-10-C9-1C-AD-5A,
38,,KNoList=125844/125845/116490/116491/116492/116493/116482/116483/116484/116486/116485/116487/113199/113200/116488/116489 ,HinList=2880/3880/3881/3882/4620/4650/4700/4701/4702/4703/4710/4711/4712/4713/4714/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4984/4985/5020/5060/5061/5062/5160/5220/5221/5222/5260/5261/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5550/5570/5580/5620/5621/5622/5625/5630/5631/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5900/5920/5940/5960/5980/... ,MkrList=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4360/4360/2840/2840/2840/...,
39,ParamList='FB2200'/69750461/F.DSÃﬁ∞¬(IN)/ëÂñÏDSB FBÃﬁ∞¬/0,,,,
40,,KNoList=125844/125845/116490/116491/116492/116493/116482/116483/116484/116486/116485/116487/113199/113200/116488/116489 ,HinList=3360/3360/3360/3361/3361/3361/3362/3362/3362/3363/3363/3363/3364/3364/3364/3365/3365/3365/3366/3366/3366/3380/3380/3380/3381/3381/3381/3382/3382/3382/3383/3383/3383/3384/3384/3384/3385/3385/3385/3386/3386/3386/3880/3881/3882/3840/3841/3842/3845/3843/3844/3800/3801/3802/3800/3801/3800/3802 ,MkrList=2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2840/2840/2840/1040/1040/1040/1040/1040/1040/1040/1040/1040/2840/2840/2640/2640,
41,,KNoList=125844/125845/116490/116491/116492/116493/116482/116483/116484/116486/116485/116487/113199/113200/116488/116489 ,HinList=2880/3880/3881/3882/4620/4650/4700/4701/4702/4703/4710/4711/4712/4713/4714/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4984/4985/5020/5060/5061/5062/5160/5220/5221/5222/5260/5261/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5550/5570/5580/5620/5621/5622/5625/5630/5631/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5900/5920/5940/5960/5980/... ,MkrList=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4360/4360/2840/2840/2840/...,
42,ParamList=//L350S///0/500 ,KurumaInfo=125844/6/¿ﬁ≤ ¬/34/¿›ƒ 660 DOHC/12380/0002 0007/CBA-L350S/0506/0712/EFVE/660,,,
43,KNo=118722 ,HinList=3360/3360/3360/3361/3361/3361/3362/3362/3362/3363/3363/3363/3364/3364/3364/3365/3365/3365/3366/3366/3366/3380/3380/3380/3381/3381/3381/3382/3382/3382/3383/3383/3383/3384/3384/3384/3385/3385/3385/3386/3386/3386/3880/3881/3882/3840/3841/3842/3845/3843/3844/3800/3801/3802/3800/3801/3800/3802 ,MkrList=2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2780/2800/2820/2840/2840/2840/1040/1040/1040/1040/1040/1040/1040/1040/1040/2840/2840/2640/2640 ,parSyadaiNo=0,
44,ParamList=15132/0608////0/500 ,KurumaInfo=118722/8/ΩΩﬁ∑/22/¥Ãﬁÿ® 660 DOHC/15132/0608/EBD-DA64V/0508/1005/K6A/660,,,
45,ParamList=18797/0001////0/500 ,KurumaInfo=150502/4/œ¬¿ﬁ/58/CX-5 2200 DSL¿∞Œﬁ/18797/0001 0002/3DA-KF2P/1802/1809/SH-VPTS/2200,,,
46,ParamList='4863039015'/-1///0,,,,
47,ParamList='4861039015'/-1///0,,,,
48,,KNoList=143520/143522 ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870,
49,,KNoList=143520/143522 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080,
50,ParamList=17349/0065////0/500 ,KurumaInfo=143520/3/éOïH/70/±≥ƒ◊›¿ﬁ∞ 2400/17349/0065 0073 0081/DBA-GF8W/1401/1506/4J12/2400,,,
51,,KNoList=91150/91151/96082/96083/101313/101314/108071/108072/106144/106145/110979/114289/139481/139480 ,HinList=2120/2121/2122/2123/2124/2125/2140/2141/2142/2260 ,MkrList=2280/2280/2280/2280/2280/2280/2280/2280/2280/2280,
52,ParamList=//NCP30///0/500 ,KurumaInfo=91150/1/ƒ÷¿/93/bB 1300 DOHC/10470/0001-0024/GH-NCP30/0001/0008/2NZFE/1300,,,
53,,KNoList=123182/123187/116517/116523/118174/118175/123181/116516/116522/116509/116519/116511/123184/123188/116515/116521/118176/118177/116508/116518/116510/116512/123183/116514/116520/116513 ,HinList=2120/2121/2122/2123/2124/2125/2140/2141/2142/2260 ,MkrList=2280/2280/2280/2280/2280/2280/2280/2280/2280/2280,
54,,KNoList=123182/123187/116517/116523/118174/118175/123181/116516/116522/116509/116519/116511/123184/123188/116515/116521/118176/118177/116508/116518/116510/116512/123183/116514/116520/116513 ,HinList=1660/1680/1700/1720/1721/1722/1723/1725 ,MkrList=2300/2300/2300/2300/2300/2300/2300/2300,
55,,KNoList=123182/123187/116517/116523/118174/118175/123181/116516/116522/116509/116519/116511/123184/123188/116515/116521/118176/118177/116508/116518/116510/116512/123183/116514/116520/116513 ,HinList=2120/2121/2122/2123/2124/2125/2140/2141/2142/2260 ,MkrList=2280/2280/2280/2280/2280/2280/2280/2280/2280/2280,
56,ParamList=//S330V///0/500 ,KurumaInfo=123182/6/¿ﬁ≤ ¬/10/ ≤æﬁØƒ ∂∞∫ﬁ 660 DOHC  ﬁ›/12762/0005-0008/LE-S330V/0412/0712/EFVE/660,,,
57,,KNoList=91150/91151/96082/96083/101313/101314/108071/108072/106144/106145/110979/114289/139481/139480 ,HinList=2120/2121/2122/2123/2124/2125/2140/2141/2142/2260 ,MkrList=2280/2280/2280/2280/2280/2280/2280/2280/2280/2280,
58,ParamList=//NCP30///0/500 ,KurumaInfo=91150/1/ƒ÷¿/93/bB 1300 DOHC/10470/0001-0024/GH-NCP30/0001/0008/2NZFE/1300,,,
59,ParamList=//CP30///0/500 ,KurumaInfo=,,,
60,KNo=143592 ,HinList=1021/1021/1021/1025/1101/1141/1181/1181/1120/1121/1022/1022/1022/1026/1102/1142/1182/1182/1301/1341/1381/1421/1303/1302/1342/1382/1422/1061/1062/1061/1062/1061/1062 ,MkrList=1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/4280/4280/2260/2260/2260/4280/4280/1040/1040/3200/3200/2260/2260 ,parSyadaiNo=0,
61,ParamList=17660/0007////0/500 ,KurumaInfo=143592/5/Œ›¿ﬁ/81/N-WGN 660 DOHC ¿∞Œﬁ/17660/0007/DBA-JH2/1504/1906/S07A/660,,,
62,,KNoList=118898/118899 ,HinList=2500/2501/2502/2503/2504/5100/5100 ,MkrList=3420/3420/3420/3420/3420/3860/2290,
63,,KNoList=118898/118899 ,HinList=8130/8160/5100/5100 ,MkrList=2100/2100/3860/2290,
64,,KNoList=118898/118899 ,HinList=5100 ,MkrList=3980,
65,,KNoList=118898/118899 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080,
66,,KNoList=118898/118899 ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870,
67,ParamList='RN704'/84743165/R Ãﬁ€Ø∏≈Øƒ/SUN(TOKAI)/0,,,,
68,,KNoList=118898/118899 ,HinList=4971/4972/4973/4974/4975/4976/4977/4978/4979 ,MkrList=2020/2020/2020/2020/2020/2020/2020/2020/2020,
69,,KNoList=118898/118899 ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870,
70,,KNoList=118898/118899 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080,
71,,KNoList=118898/118899 ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870,
72,,KNoList=118898/118899 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080,
73,,KNoList=118898/118899 ,HinList=1021/1021/1021/1025/1101/1141/1181/1181/1120/1121/1022/1022/1022/1026/1102/1142/1182/1182/1301/1341/1381/1421/1303/1302/1342/1382/1422/1061/1062/1061/1062/1061/1062 ,MkrList=1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/4280/4280/2260/2260/2260/4280/4280/1040/1040/3200/3200/2260/2260,
74,,KNoList=118898/118899 ,HinList=1660/1680/1700/1720/1721/1722/1723/1725 ,MkrList=2300/2300/2300/2300/2300/2300/2300/2300,
75,,KNoList=118898/118899 ,HinList=2880/3880/3881/3882/4620/4650/4700/4701/4702/4703/4710/4711/4712/4713/4714/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4984/4985/5020/5060/5061/5062/5160/5220/5221/5222/5260/5261/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5550/5570/5580/5620/5621/5622/5625/5630/5631/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5900/5920/5940/5960/5980/... ,MkrList=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4360/4360/2840/2840/2840/...,
76,,KNoList=118898/118899 ,HinList=5100 ,MkrList=3980,
77,,KNoList=118898/118899 ,HinList=2500/2501/2502/2503/2504/5100 ,MkrList=2160/2160/2160/2160/2160/2160,
78,,KNoList=118898/118899 ,HinList=2500/2501/2502/2503/2504/5100 ,MkrList=4280/4280/4280/4280/4280/4280,
79,,KNoList=118898/118899 ,HinList=2500/2501/2502/2503/2504/5100/5100 ,MkrList=3420/3420/3420/3420/3420/3860/2290,
80,ParamList='894124170'/-1///0,,,,
81,,KNoList=118898/118899 ,HinList=8130/8160/5100/5100 ,MkrList=2100/2100/3860/2290,
82,ParamList='8943810210'/-1///0,,,,
83,ParamList='894381021'/-1///0,,,,
84,ParamList=15278/002////0/500 ,KurumaInfo=118898/2/ì˙éY/85/”∫ 660 DOHC/15278/0001 0002 0006/DBA-MG22S/0602/1102/K6A/660,,,
85,ParamList=15278/002////0/500 ,KurumaInfo=118898/2/ì˙éY/85/”∫ 660 DOHC/15278/0001 0002 0006/DBA-MG22S/0602/1102/K6A/660,,,
86,KNo=98693 ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870 ,parSyadaiNo=0,
87,KNo=98693 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080 ,parSyadaiNo=0,
88,ParamList=10925/0069////0/500 ,KurumaInfo=98693/1/ƒ÷¿/59/¥Ω√®œ•L 2400 DOHC/10925/0069-0071 0073 0085-0087 0089/TA-ACR30W/0104/0304/2AZFE/2400,,,
89,KNo=128384 ,HinList=1660/1680/1700/1720/1721/1722/1723/1725 ,MkrList=2300/2300/2300/2300/2300/2300/2300/2300 ,parSyadaiNo=0,
90,KNo=128384 ,HinList=1021/1101/1141/1181/1120/1121/1022/1102/1142/1182/1182/1301/1341/1381/1421/1303/1302/1342/1382/1422/1061/1062 ,MkrList=2500/3220/3220/3220/3220/3220/2500/3220/3220/3220/2260/2500/2500/3220/3220/2500/2500/2500/3220/3220/3820/3820 ,parSyadaiNo=0,
91,KNo=128384 ,HinList=1021/1025/1101/1141/1181/1181/1120/1121/1022/1026/1102/1142/1182/1182/1301/1341/1381/1421/1303/1302/1342/1382/1422/1061/1062/1061/1062 ,MkrList=2260/2260/4280/4280/4280/2260/4280/4280/2260/2260/4280/4280/4280/2260/2260/2260/4280/4280/2260/2260/2260/4280/4280/1040/1040/2260/2260 ,parSyadaiNo=0,
92,KNo=128384 ,HinList=1021/1021/1021/1025/1101/1141/1181/1181/1120/1121/1022/1022/1022/1026/1102/1142/1182/1182/1301/1341/1381/1421/1303/1302/1342/1382/1422/1061/1062/1061/1062/1061/1062 ,MkrList=1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/4280/4280/2260/2260/2260/4280/4280/1040/1040/3200/3200/2260/2260 ,parSyadaiNo=0,
93,KNo=128384 ,HinList=1021/1101/1141/1181/1022/1102/1142/1182 ,MkrList=4280/4280/4280/4280/4280/4280/4280/4280 ,parSyadaiNo=0,
94,KNo=128384 ,HinList=1021/1022/1301/1341/1303/1302/1342 ,MkrList=3940/3940/3940/3940/3940/3940/3940 ,parSyadaiNo=0,
95,KNo=128384 ,HinList=1021/1022/1301/1341/1303/1302/1342/1061/1062 ,MkrList=3740/3740/3740/3740/3740/3740/3740/1060/1060 ,parSyadaiNo=0,
96,KNo=128384 ,HinList=1021/1021/1021/1025/1101/1141/1181/1181/1120/1121/1022/1022/1022/1026/1102/1142/1182/1182/1301/1341/1381/1421/1303/1302/1342/1382/1422/1061/1062/1061/1062/1061/1062 ,MkrList=1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/4280/4280/2260/2260/2260/4280/4280/1040/1040/3200/3200/2260/2260 ,parSyadaiNo=0,
97,KNo=128384 ,HinList=1120/1121/1146/1147/1180/1181/1182/1423/1424/1460/1461/1462/1464/1465/1466/1467/1470/1471/1472/1473/1480/1481/1482/1483/1490/1500/1501/1502/1503/1504/1520/1525/1600/1620/3320/3321/3322/2385 ,MkrList=4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280 ,parSyadaiNo=0,
98,KNo=128384 ,HinList=1021/1021/1021/1025/1101/1141/1181/1181/1120/1121/1022/1022/1022/1026/1102/1142/1182/1182/1301/1341/1381/1421/1303/1302/1342/1382/1422/1061/1062/1061/1062/1061/1062 ,MkrList=1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/1040/3200/2260/2260/4280/4280/4280/2260/2260/2260/4280/4280/2260/2260/2260/4280/4280/1040/1040/3200/3200/2260/2260 ,parSyadaiNo=0,
99,KNo=128384 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080 ,parSyadaiNo=0,
100,ParamList=16059/0003////0/500 ,KurumaInfo=128384/18/–∆/1/BMW –∆ 1600 DOHC ¿∞Œﬁ/16059/0003 0004 0007 0011/ABA-MM16/0710/1003//1600,,,
101,ParamList='34116778320'/-1///0,,,,
102,ParamList='11427622446'/-1///0,,,,
103,ParamList='VTW430'/91138531/ë÷∫ﬁ— (â^ì])/VALEO/0,,,,
104,,KNoList=152699/148831/142844/148828/152698/142845/147713/148830/146371/142846/148829/152700/152703/157348/148835/157354/148839/147722/152709/157360/148845/147723/148849/157366/142840/148832/152701/157344/157350/146253/148842/152707/157356/157362/142841/152702/157346/147715/148834/157352/142867/147716/148838/146374/152708/157358/146254/148844/147717/148848/157364/146378/146376/147714/146372/152706/157349/148837/157355/148841/147724/152712/157361/148847/147725/148851/157367/142842/148833/152704/157345/157351/146255/148843/152710/157357/157363/142843/152705/157347/147719/148836/157353/142868/147720/148840/146375/152711/157359/146256/148846/147721/148850/157365/146379/146377/147718/146373/152714/157370/... ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870,
105,,KNoList=152699/148831/142844/148828/152698/142845/147713/148830/146371/142846/148829/152700/152703/157348/148835/157354/148839/147722/152709/157360/148845/147723/148849/157366/142840/148832/152701/157344/157350/146253/148842/152707/157356/157362/142841/152702/157346/147715/148834/157352/142867/147716/148838/146374/152708/157358/146254/148844/147717/148848/157364/146378/146376/147714/146372/152706/157349/148837/157355/148841/147724/152712/157361/148847/147725/148851/157367/142842/148833/152704/157345/157351/146255/148843/152710/157357/157363/142843/152705/157347/147719/148836/157353/142868/147720/148840/146375/152711/157359/146256/148846/147721/148850/157365/146379/146377/147718/146373/152714/157370/... ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080,
106,ParamList=//DA17V///0/500 ,KurumaInfo=152699/8/ΩΩﬁ∑/22/¥Ãﬁÿ® 660 DOHC/18014/0036/HBD-DA17V/1906/2107/R06A/660,,,
107,ParamList='YH0114P'/69791332/µ≤Ÿ ﬂ›ƒﬁ⁄›Ãﬂ◊∏PK/ëÂñÏ∫ﬁ—/0,,,,
